date,headline,source,compound,sentiment
2020-02-01,"Story of budget ’20, in 9 charts - Mint",Mint,0.0,Neutral
2020-02-01,Tax liability on properties sold below circle rate relaxed further - Mint,Mint,0.34,Positive
2020-02-03,"Maximise returns from EPF, NPS for a financially secure retirement - The Economic Times",The Economic Times,0.34,Positive
2020-02-07,Opinion | Why this Delhi school keeps winning - Mint,Mint,0.5267,Positive
2020-02-08,"Aadhaar card updation for children: Biometrics, online appointment, other details - Mint",Mint,0.0,Neutral
2020-02-10,"IRCTC’s 3rd private train will run from 20 February. Name, other details revealed - Mint",Mint,0.0,Neutral
2020-02-11,"You can now contribute to NPS using UPI, but some hiccups remain - Mint",Mint,0.0,Neutral
2020-02-11,"Delhi Election Results: With AAP's victory, all focus on Prashant Kishore - Mint",Mint,0.0,Neutral
2020-02-11,Opinion | The Hoffland ‘Redemption’ and the face of risk - Mint,Mint,-0.2732,Negative
2020-02-11,"Share Market Updates: AAP set to win Delhi Election Result 2020; Sensex ends 236 points higher, Nifty at 12,107 - Business Today",Business Today,0.8271,Positive
2020-02-12,"I-T department to share taxpayers' PAN, other data with Sebi - The Times of India",The Times of India,0.296,Positive
2020-02-12,Retailers scramble to stock up on N95 masks amid spurt in demand - Mint,Mint,-0.128,Negative
2020-02-12,"Opinion | It’s a bird, it’s a stingray… no, it’s Airbus’ Maveric - Mint",Mint,0.0,Neutral
2020-02-13,DMart promoters to sell shares via OFS - Mint,Mint,0.296,Positive
2020-02-13,Tata Trusts appoints old timer Srinath Narasimhan as CEO - Mint,Mint,0.4767,Positive
2020-02-14,LIC Housing Finance refers 14 stuck projects for last-mile funding through AIF - Mint,Mint,-0.25,Negative
2020-02-14,PhonePe earmarks ₹800 crore marketing budget to take on competition - Mint,Mint,0.0,Neutral
2020-02-15,"Atal Pension Yojana: Early joiners can save over Rs 13,000/year in contribution! - The Financial Express",The Financial Express,0.5411,Positive
2020-02-16,Looking to make a foray into pre-owned car business in India: Porsche - Mint,Mint,0.0,Neutral
2020-02-16,Lemon Tree’s performance looks decent against pessimism in stock price - Mint,Mint,-0.3612,Negative
2020-02-17,Bank savings account interest rate at 7%. Check latest rates here - Mint,Mint,0.4588,Positive
2020-02-17,"Onsitego raises $19 million from Zodius, Accel - Mint",Mint,0.0,Neutral
2020-02-17,Whole market is looking beyond China: boAt Lifestyle co-founder - Mint,Mint,0.0,Neutral
2020-02-17,Bajaj Finance replaces SBI as one of top-10 most-valued companies on BSE - Business Today,Business Today,0.0,Neutral
2020-02-17,Copper Price Live | Today's Copper Rate & Market Updates - Mint,Mint,0.0,Neutral
2020-02-18,HDFC Bank completes 25 years of operations - Moneycontrol.com,Moneycontrol.com,0.0,Neutral
2020-02-18,Delhi Metro joins hand with ETO Motors to launch a fleet e-rickshaws - Mint,Mint,0.4939,Positive
2020-02-18,'Zombie might pop up': Air India pilot to Wuhan describes challenges to evacuation plan - Mint,Mint,0.0772,Positive
2020-02-19,"There is no slowdown in credit card spends, says HDFC Bank’s Parag Rao - Mint",Mint,0.1027,Positive
2020-02-20,Govt probe finds no major irregularities in Indiabulls group: Report - Mint,Mint,-0.296,Negative
2020-02-20,"Market Wrap, Feb 20: Sensex down 153 pts, Nifty below 12,100 - Business Standard",Business Standard,0.4019,Positive
2020-02-21,4 railway stations in Uttar Pradesh's Prayagraj get new names - Mint,Mint,0.0,Neutral
2020-02-21,How to get PAN card number online within 5 minutes: Step-by-step guide - The Financial Express,The Financial Express,0.0772,Positive
2020-02-22,"Gold prices surge to record high, up ₹1,800 per 10 gram in just 5 days - Mint",Mint,0.0,Neutral
2020-02-23,"Indian Bank to stop loading and dispensation of Rs2,000 notes in its ATMs - Mint",Mint,-0.296,Negative
2020-02-23,Mega bank consolidation: Meeting 1 April deadline appears challenging - Mint,Mint,0.1531,Positive
2020-02-24,A bit of gold can help reduce volatility - Mint,Mint,0.4019,Positive
2020-02-24,Bank fixed deposit (FD) interest rates at 9%. Latest rates here - Mint,Mint,0.4588,Positive
2020-02-25,Over 50 stocks in BSE 500 more than double their profit in Q3; worth a look? - Moneycontrol.com,Moneycontrol.com,0.5859,Positive
2020-02-25,HDFC Bank aims to be go-to bank for start-ups - Moneycontrol.com,Moneycontrol.com,0.0,Neutral
2020-02-26,"Hyundai Grand i10 Nios gets turbo boost, starts at Rs 7.68 lakh - The Times of India",The Times of India,0.6908,Positive
2020-02-26,"HDFC Bank Uses Advanced Analytics For 10 Second Loan Approvals: Smita Bhagat, Country Head - Analytics India Magazine",Analytics India Magazine,0.25,Positive
2020-02-27,"IndiGo launches co-branded credit card Ka-Ching with HDFC Bank, MasterCard - Mint",Mint,0.3818,Positive
2020-02-28,Delhi riots: A chronology - Mint,Mint,-0.5106,Negative
2020-02-29,How to block SBI ATM-cum-debit card through SMS - Mint,Mint,-0.4404,Negative
2020-03-02,Is SBI Card IPO pricey? Here’s how it stacks up against the global peers - The Economic Times,The Economic Times,0.0,Neutral
2020-03-04,The unenviable job of Aditya Puri's successor at HDFC Bank - Moneycontrol.com,Moneycontrol.com,0.2263,Positive
2020-03-04,"Aditya Puri successor: HDFC Bank recasts search panel, Keki Mistry replaced by Renu Karnad - The Economic Times",The Economic Times,0.2263,Positive
2020-03-05,Government knocks SBI door to rescue Yes Bank - Mint,Mint,0.7184,Positive
2020-03-05,"AU Small Finance Bank stock top choice in FY20, overtakes PNB, BoB in m-cap - Business Standard",Business Standard,0.2023,Positive
2020-03-05,Who Will Replace Aditya Puri at HDFC Bank? - Invest Yadnya,Invest Yadnya,0.0,Neutral
2020-03-06,Goldman Marcus Unit Head in Running to Become HDFC Bank CEO - Bloomberg.com,Bloomberg.com,0.0,Neutral
2020-03-07,HDFC Bank in talks with Goldman Sachs Group's Harit Talwar for CEO role - Business Standard,Business Standard,0.0,Neutral
2020-03-09,"Markets bleed as sensex crashes 1,942 points: Top reasons behind this slide - The Times of India",The Times of India,0.2023,Positive
2020-03-12,Call/redeem option - Investing in perpetual bonds? Be ready for these risks - The Economic Times,The Economic Times,0.1027,Positive
2020-03-12,"Reliance, TCS, HDFC Bank lose Rs 1.77 lakh crore as coronavirus jitters hit Indian market - Business Today",Business Today,-0.4019,Negative
2020-03-13,"ICICI Bank to invest Rs 1,000 crore in Yes Bank - The Times of India",The Times of India,0.4019,Positive
2020-03-13,"Forget stock market crash, check out shares to buy today! Here are top tips to make money - Zee Business",Zee Business,-0.2244,Negative
2020-03-14,HDFC Bank voted as best managed company in India; Aditya Puri gets best CEO crown - CNBC TV18,CNBC TV18,0.8555,Positive
2020-03-14,Cognizant’s bonus for staff among lowest in its history - The Times of India,The Times of India,0.2263,Positive
2020-03-14,Yes Bank to get a lifeline as govt approves SBI’s rescue plan - Mint,Mint,0.8271,Positive
2020-03-16,Yes Bank rallies more than 50% post restructuring plan; time to buy? - Moneycontrol.com,Moneycontrol.com,0.4019,Positive
2020-03-16,Restriction on Yes Bank Share Sell: What is it and how to handle the situation - The Financial Express,The Financial Express,0.4215,Positive
2020-03-17,How to activate & use HDFC Bank internet banking services? - The Times of India,The Times of India,0.0,Neutral
2020-03-17,"Is e-PAN card valid? Check features, fee, documents required for PAN card online - The Financial Express",The Financial Express,0.0,Neutral
2020-03-17,Shares of IndusInd Bank are feeling the heat after fiasco at Yes Bank - Mint,Mint,0.2732,Positive
2020-03-17,"HDFC Bank vs SBI vs Axis Bank vs ICICI Bank vs PNB: Average Monthly Balance, charges compared - The Financial Express",The Financial Express,-0.2732,Negative
2020-03-18,"Share Market Update: Sensex closes 1,709 points lower, Nifty at 8,541; banks lead losses - Business Today",Business Today,0.0,Neutral
2020-03-19,Biggest Indian bank ramps up corporate loans as rivals retreat - The Times of India,The Times of India,0.2023,Positive
2020-03-20,"Market Wrap, March 20: Sensex jumps 1,628 pts, Nifty ends at 8,745 - Business Standard",Business Standard,0.4019,Positive
2020-03-20,Rupee breaches 75 against dollar first time ever - The Times of India,The Times of India,0.0,Neutral
2020-03-20,Yes Bank's journey from India's 7th largest bank stock to management crisis - Moneycontrol.com,Moneycontrol.com,-0.34,Negative
2020-03-20,Most-Valuable India Bank Falls as Bernstein Slashes Price Goal - Bloomberg.com,Bloomberg.com,-0.2023,Negative
2020-03-21,Government caps maximum retail price of 200ml hand sanitizer at Rs 100 till June - The Times of India,The Times of India,0.4939,Positive
2020-03-23,"In biggest market crash ever, Sensex collapses about 4,000 points in a day - Mint",Mint,-0.5994,Negative
2020-03-24,"RBI needs to ease asset quality norms, cut repo rate: HDFC Bank's Puri - Business Standard",Business Standard,0.4404,Positive
2020-03-24,HDFC Bank to name chief executive Aditya Puri's successor before April - Business Standard,Business Standard,0.2263,Positive
2020-03-25,"Share Market LIVE: Sensex ends 1,861 points higher, Nifty at 8,297; RIL, HDFC Bank, Kotak Bank top performers - Business Today",Business Today,0.6908,Positive
2020-03-25,"Market takes a breather with Sensex gaining 1,800pts; 6 key factors that are at play - Moneycontrol.com",Moneycontrol.com,0.6369,Positive
2020-03-27,Budget-friendly laptops to step up your work from home game - The Economic Times,The Economic Times,0.0,Neutral
2020-04-01,Gross non-performing assets (NPAs) - Check the financial health of your bank with these 8 ratios - The Economic Times,The Economic Times,-0.34,Negative
2020-04-01,HDFC Bank loan EMI moratorium: All you need to know - The Times of India,The Times of India,0.0,Neutral
2020-04-01,How to check the financial health of your bank with these 8 ratios - The Economic Times,The Economic Times,0.0,Neutral
2020-04-01,Investors lose over Rs 30 lakh cr in March; 43 stocks in BSE 500 fall over 50% - Moneycontrol.com,Moneycontrol.com,-0.4019,Negative
2020-04-02,HDFC Bank loan EMI moratorium: All your questions answered - Mint,Mint,0.0,Neutral
2020-04-03,"Market Wrap, April 3: Here's all that happened in the markets today - Business Standard",Business Standard,0.0,Neutral
2020-04-05,"Air Deccan ceases its operations, all employees put on sabbatical without pay - The Times of India",The Times of India,0.0762,Positive
2020-04-06,"Mahindra Scorpio BS6 specifications, variants revealed: Price hike unlikely - The Financial Express",The Financial Express,0.0,Neutral
2020-04-06,Does it make sense to buy RBI 7.75% bonds in low-rate regime? - Mint,Mint,0.0,Neutral
2020-04-07,Why you should stop or pause your SIP if you can’t service it - Mint,Mint,-0.296,Negative
2020-04-09,"Share Market Update: Sensex ends 1,265 points higher, Nifty at 9,111; auto stocks top gainers - Business Today",Business Today,0.6908,Positive
2020-04-09,Bank of Maharashtra launches credit scheme for standard account customers - The Times of India,The Times of India,0.3818,Positive
2020-04-09,"CNBC-TV18 Market Highlights: Sensex surges 1,266 points, Nifty holds 9,100; auto, financials lead gains - CNBC TV18",CNBC TV18,0.6249,Positive
2020-04-12,People’s Bank of China picks up 1.75 crore shares in HDFC - Moneycontrol.com,Moneycontrol.com,0.296,Positive
2020-04-12,People’s Bank of China has now 1.01 % share in HDFC - Punekar News,Punekar News,0.296,Positive
2020-04-12,People's Bank of China now owns 1% in HDFC; co says PBOC held small stake earlier - CNBC TV18,CNBC TV18,0.0,Neutral
2020-04-12,People's Bank of China acquires 1% stake in HDFC - Mint,Mint,0.0,Neutral
2020-04-13,Banks stock up on cash to keep ATMs full - The Times of India,The Times of India,0.0,Neutral
2020-04-13,China's central bank buys 1% stake in HDFC - The Economic Times,The Economic Times,0.0,Neutral
2020-04-13,China’s central bank takes 1% stake in HDFC - The Times of India,The Times of India,0.0,Neutral
2020-04-14,"Gaja Capital, former HDFC Bank honcho back Sachin Bansal; value Navi Tech at $558 mn - VCCircle",VCCircle,0.34,Positive
2020-04-14,"Pay your rent through credit card, get cheaper loans on Cred - The Times of India",The Times of India,0.296,Positive
2020-04-15,"Liquidity will be key to growth post covid-19, says Deepak Parekh - Mint",Mint,0.3818,Positive
2020-04-15,"OnePlus 8 vs OnePlus 8 Pro: Specs, price, features compared - Mint",Mint,0.0,Neutral
2020-04-17,Banks that skirted India’s bad loans can’t escape lockdown - The Economic Times,The Economic Times,-0.4215,Negative
2020-04-18,India's sovereign rating restricting upgrade on HDFC Bank's ratings: S&P global ratings - Moneycontrol.com,Moneycontrol.com,-0.3818,Negative
2020-04-18,HDFC Bank launches mobile ATMs in Pune - The Times of India,The Times of India,0.0,Neutral
2020-04-19,"Meet the top three contenders, next in line for the HDFC Bank CEO throne - IBTimes India",IBTimes India,0.2023,Positive
2020-04-19,HDFC Bank net in Q4 rises 17.7% even as lockdown impacts business volumes - The Indian Express,The Indian Express,0.0,Neutral
2020-04-19,HDFC Bank’s Margins to Lure Investors as Indian Rivals Struggle - Bloomberg.com,Bloomberg.com,-0.3182,Negative
2020-04-20,What is Bank Nifty? Index That Summarizes Economic Health - Trade Brains,Trade Brains,0.4019,Positive
2020-04-21,BMW India CEO Rudratej Singh dies at 46 - The Times of India,The Times of India,0.0,Neutral
2020-04-21,How to predict if a stock will go up or down [Beginners Guide] - getmoneyrich,getmoneyrich,0.0,Neutral
2020-04-22,HDFC Bank’s Next CEO: Know The Contenders - NDTV Profit,NDTV Profit,0.4404,Positive
2020-04-24,"BS6 125cc bikes you can buy: Honda SP125, Hero Glamour, Bajaj Pulsar 125 - The Financial Express",The Financial Express,0.7906,Positive
2020-04-24,Chris Wood rejigs India exposure; says lockdown disastrous for economy - Business Standard,Business Standard,-0.5994,Negative
2020-04-29,Fortis rolls out online consultations across 23 hospitals amid lockdown - Mint,Mint,0.0,Neutral
2020-04-29,"Sensex jumps over 300 points in early trade, Nifty reclaims 9,400 | Business News - Hindustan Times",Hindustan Times,0.4019,Positive
2020-04-29,Axis Bank Q4 results: Lender's asset quality worrying for investors still - Business Standard,Business Standard,0.0258,Neutral
2020-05-04,"Over 1,100 customers to lose out in CKP Co-operative Bank's liquidation - Mint",Mint,-0.4019,Negative
2020-05-05,SC says cooperative banks on a par with other lenders under Sarfaesi Act - Mint,Mint,0.0,Neutral
2020-05-05,"Sensex dives 2,002 points on PMI’s historic low, global cues - The Times of India",The Times of India,-0.2732,Negative
2020-05-05,Ramayan did not set a ‘world record’ for most-viewed TV episode ever - Mint,Mint,0.0,Neutral
2020-05-05,Alcohol stocks up as shops reopen - The Times of India,The Times of India,0.0,Neutral
2020-05-06,Axis Bank to make WFH an integral part of work culture - Mint,Mint,0.0,Neutral
2020-05-07,Yes Bank Shares Soar 20% On March Quarter Earnings - NDTV Profit,NDTV Profit,0.7783,Positive
2020-05-07,Surf Excel Pakistan's Ramadan ad urging good deeds for covid warriors goes viral - Mint,Mint,0.7096,Positive
2020-05-08,RBL Bank share price tanks over 6% after Q4 nos; analysts remain bearish - Moneycontrol.com,Moneycontrol.com,0.296,Positive
2020-05-08,Global Financial Crisis Vs Covid-19: How Top 15 Of The NSE 500 Stocks Fared - NDTV Profit,NDTV Profit,-0.1027,Negative
2020-05-08,"Karnataka permits bars, clubs to sell liquor at MRP - Mint",Mint,0.0,Neutral
2020-05-08,"PE firm Carlyle to acquire up to 74% stake in SeQuent Scientific for ₹1,580 cr - Mint",Mint,0.0,Neutral
2020-05-08,Jamun recipes to extend summer - Mint,Mint,0.1779,Positive
2020-05-10,"HDFC Bank's arm, HDB Financial Services, sacks several staff during lockdown - Mint",Mint,0.0,Neutral
2020-05-12,"Bandhan Bank shows virus signs, ease of lockdown key to revival - Mint",Mint,0.3612,Positive
2020-05-12,SBI Cards Q4 FY20 Results Analysis - Invest Yadnya,Invest Yadnya,0.0,Neutral
2020-05-13,Centre announces Rs 3 lakh crore collateral free automatic loan for MSMEs - The Times of India,The Times of India,0.5106,Positive
2020-05-13,"Anil Agarwal to take Vedanta private in Rs 16,200 crore cash offer - The Times of India",The Times of India,0.0,Neutral
2020-05-14,"Brokerages share mixed views on Kotak Mahindra Bank after Q4; CLSA, ICICI Direct retain buy call - Moneycontrol.com",Moneycontrol.com,0.296,Positive
2020-05-16,Cyclone Amphan to intensify in next 12 hours; 12 districts in Odisha on alert - Mint,Mint,0.296,Positive
2020-05-17,Liquor price to go up in Jammu and Kashmir after excise duty hike - Mint,Mint,0.0,Neutral
2020-05-18,Amphan now a 'super cyclone'; landfall on West Bengal coast on Wednesday evening - Mint,Mint,0.5994,Positive
2020-05-18,Permanent work from home damaging for workers' well-being: Satya Nadella - The Times of India,The Times of India,-0.5106,Negative
2020-05-18,Financials lose weight! 24 stocks have been part of Nifty for past 15 years - Moneycontrol.com,Moneycontrol.com,0.0,Neutral
2020-05-19,Why private coal mining will not help stressed power plants - Mint,Mint,-0.0572,Negative
2020-05-19,"Covid-19 crisis: Govt implements cut in EPF contribution to 10% for May, Jun, July - The Economic Times",The Economic Times,-0.7351,Negative
2020-05-20,"Stock Market: Sensex gains 622 points, Nifty regains 9K; Aurobindo Pharma, DLF shares soar - Zee Business",Zee Business,0.743,Positive
2020-05-21,Bandhan Bank sees ₹260 crore loans impacted by cyclone Amphan - Mint,Mint,0.0,Neutral
2020-05-21,DriveWealth Brings U.S. Stock Investing Capability to India-Based AI Wealth Management Firm - The Times of India,The Times of India,0.4939,Positive
2020-05-22,IDFC First Bank Q4 results: Posts net profit of Rs 72 crore - The Economic Times,The Economic Times,0.4404,Positive
2020-05-23,Reliance Jio sells 2% stake to KKR for $1.5 billion - The Times of India,The Times of India,0.0,Neutral
2020-05-23,NSE launches 'Gold Options' in commodity derivatives segment Mumbai May ' - The Times of India,The Times of India,0.0,Neutral
2020-05-24,‘Consumer credit scores are lower as we have changed the scoring process’ - Mint,Mint,0.1027,Positive
2020-05-24,Eid-ul-Fitr: Is the Indian stock market open or closed for trading tomorrow? - Business Today,Business Today,0.0,Neutral
2020-05-25,"HDFC March Quarter Profit Falls 22% To Rs 2,233 Crore, Board Announces Rs 21 Dividend - NDTV Profit",NDTV Profit,0.7003,Positive
2020-05-25,Alibaba-backed BigBasket eyes up to $200 million in new fundraise - Mint,Mint,0.0,Neutral
2020-05-26,Bank of Baroda to move Karnataka HC to bar BR Shetty from selling assets - Mint,Mint,0.1779,Positive
2020-05-26,Five things to remember before booking air tickets - Mint,Mint,0.0,Neutral
2020-05-26,ITC share price rises over 4% on Sunrise Foods' acquisition - Business Today,Business Today,0.296,Positive
2020-05-26,Bajaj Allianz offers loan against life insurance policy: All you need to know - Mint,Mint,0.0,Neutral
2020-05-27,HDFC Life pins hopes on Wise to thrive in a post-covid world - Mint,Mint,0.7096,Positive
2020-05-27,5 Point Comparison of Major Private Banks in India - Invest Yadnya,Invest Yadnya,0.0,Neutral
2020-05-27,Volkswagen launches new car ownership models to push sales - Mint,Mint,0.0,Neutral
2020-05-27,Avoid investing in different funds of a single AMC as they perform in unison - Mint,Mint,-0.296,Negative
2020-05-28,Meet multi-millionaire Kotakites: 5 executives worth Rs 100 crore each in Kotak Bank - Business Today,Business Today,0.2263,Positive
2020-05-28,"Great News! Maruti Suzuki Alto, Swift, Dzire and more at an EMI of just Rs 899: Here’s how - The Financial Express",The Financial Express,0.7345,Positive
2020-05-28,Eicher Motors Ltd gains for third straight session - Business Standard,Business Standard,0.5106,Positive
2020-05-29,"Maruti Suzuki, HDFC Bank's flexible car EMI options come at a cost - Mint",Mint,0.2263,Positive
2020-05-29,Karnataka Bank fined ₹1.2 crore by RBI - Mint,Mint,0.0,Neutral
2020-05-29,HDFC Bank Limited - The Times of India,The Times of India,-0.2263,Negative
2020-05-31,Karnataka govt likely to decide on inter-state bus movement after consulting others - Mint,Mint,0.0,Neutral
2020-05-31,Why Akbar wasn’t always a beacon of tolerance - Mint,Mint,0.296,Positive
2020-06-01,Borrowers approach banks to rework loan pacts as earnings fall - Mint,Mint,0.0,Neutral
2020-06-01,Can't access WeTransfer? Here are three alternatives you can use - Mint,Mint,0.0,Neutral
2020-06-03,"SBI gives 22,000 loans to small companies in 1 day - The Times of India",The Times of India,0.0,Neutral
2020-06-03,"Bajaj Auto ties up with HDFC Bank, to offer financial schemes - The Times of India",The Times of India,0.0,Neutral
2020-06-03,"Shriram Transport plans to raise up to ₹2,000 cr via rights issue - Mint",Mint,0.0,Neutral
2020-06-04,HDFC Bank Loan Moratorium 2.0 rule: Will you get refund if EMI already deducted? - The Financial Express,The Financial Express,0.0,Neutral
2020-06-04,RBI starts publishing daily data on payment systems - Mint,Mint,0.0,Neutral
2020-06-04,ICICI Bank share price down 2.47% at closing today - Mint,Mint,0.296,Positive
2020-06-05,"RIL rights issue: After massive subscription of 1.59 times, here's the next stage - Moneycontrol.com",Moneycontrol.com,0.0,Neutral
2020-06-05,What’s the euphoria behind Tata Motors stock? - Mint,Mint,0.6486,Positive
2020-06-08,"Share Market Update: Sensex ends 83 points higher, Nifty at 10,167; Axis Bank, IndusInd Bank, BPCL, IOC top performers - Business Today",Business Today,0.6908,Positive
2020-06-09,"IDBI Bank becomes fifth most valuable private bank, shares surge by 100%% - Elets BFSI",Elets BFSI,0.6801,Positive
2020-06-10,Switching fee: Home loan borrowers at housing finance companies cry foul - The Financial Express,The Financial Express,-0.4767,Negative
2020-06-11,5-year bank fixed deposits - Which debt investment should you go for? - The Economic Times,The Economic Times,-0.3612,Negative
2020-06-11,Fixed Deposits giving lower returns than Savings Accounts? Here’s what you should do - The Financial Express,The Financial Express,0.0516,Positive
2020-06-14,"‘Gone too soon’, PM Modi shocked by Sushant Singh Rajput’s passing - Mint",Mint,-0.3182,Negative
2020-06-14,"Seven of top-10 firms lose Rs 78,127 crore in m-cap; HDFC Bank takes biggest hit - Moneycontrol.com",Moneycontrol.com,-0.4019,Negative
2020-06-15,HDFC Bank boss Aditya Puri's record as India's longest-serving bank CEO likely to be unbroken - Moneycontrol.com,Moneycontrol.com,0.0,Neutral
2020-06-17,How Chinese central bank’s move in HDFC alerted New Delhi to tighten rules - Moneycontrol.com,Moneycontrol.com,0.0,Neutral
2020-06-18,SC says Lord Jagannath won't forgive us if we allow this year's Rath Yatra - Mint,Mint,0.0222,Neutral
2020-06-20,Mumbai will be able to breathe easy by July 15: BMC commissioner - The Economic Times,The Economic Times,0.4404,Positive
2020-06-20,"HDFC Bank board approves plan to raise Rs 50,000 cr via debt securities - The Economic Times",The Economic Times,0.34,Positive
2020-06-22,Chinese funds make their way into India as ICBC's assets rise - Mint,Mint,0.1779,Positive
2020-06-23,PAN-Aadhaar cards linking: You may be fined for missing June deadline - Mint,Mint,-0.296,Negative
2020-06-23,Fixed Deposit: Worried about falling interest rates? You can still get up to 9% return on FDs – Check details - The Financial Express,The Financial Express,0.0516,Positive
2020-06-25,Hinduja brothers spar over control of Geneva-based bank - Mint,Mint,0.0,Neutral
2020-06-25,Aditya Puri took home Rs 180 crore in FY20 - The Times of India,The Times of India,0.0,Neutral
2020-06-27,"Bank ATM withdrawal, minimum balance: Relaxations expire this month - Mint",Mint,0.2732,Positive
2020-06-30,HDFC Bank launches 'e-Kisaan Dhan’ app for farmers - Mint,Mint,0.0,Neutral
2020-06-30,HDFC Bank's Aditya Puri to wind up with shares worth Rs 800 cr - Business Today,Business Today,0.4767,Positive
2020-06-30,Risks in being a loan guarantor and how to deal with them - The Economic Times,The Economic Times,-0.2732,Negative
2020-07-06,HDFC Bank shares jump 3% on robust loan growth; CLSA retains overweight call - Moneycontrol.com,Moneycontrol.com,0.5719,Positive
2020-07-06,"Sensex, Nifty near four-month highs as HDFC Bank jumps | Business News - Hindustan Times",Hindustan Times,0.4019,Positive
2020-07-06,HDFC Bank loan growth rises sequentially in Q1; ICICI Bank could raise up to $3 billion in fresh capital - Times Now,Times Now,0.5994,Positive
2020-07-06,"Stocks in news: RIL, Coal India, HDFC Bank, National Fertilizers, Edelweiss, Sobha - Business Today",Business Today,0.0,Neutral
2020-07-07,Why is SBI's market cap so low compared to HDFC Bank? - Business Today,Business Today,-0.4101,Negative
2020-07-08,Can’t maintain minimum balance? Know why it’s better to close the bank account - Mint,Mint,0.4404,Positive
2020-07-08,HDFC Bank annual report 2019-20: Here are 10 key highlights - Moneycontrol.com,Moneycontrol.com,0.0,Neutral
2020-07-09,Buying a used car on loan in times of Covid-19? Check the latest interest rates of top banks - The Financial Express,The Financial Express,0.5859,Positive
